participant,Finished,cluster,question,value,item
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_1,Not at all important
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_2,NA
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_3,NA
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_4,NA
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_5,NA
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_6,NA
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_7,NA
1,TRUE,3,"In your opinion, how important is preregistration for your work?",value_8,NA
1,TRUE,3,What is your experience with study preregistration?,value_1,"Until now, I was unaware of study preregistration"
1,TRUE,3,What is your experience with study preregistration?,value_2,NA
1,TRUE,3,What is your experience with study preregistration?,value_3,NA
1,TRUE,3,What is your experience with study preregistration?,value_4,NA
1,TRUE,3,What is your experience with study preregistration?,value_5,NA
1,TRUE,3,What is your experience with study preregistration?,value_6,NA
1,TRUE,3,What is your experience with study preregistration?,value_7,NA
1,TRUE,3,What is your experience with study preregistration?,value_8,NA
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,Preregistration prevents exploratory research
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,Preregistration stifles research creativity or flexibility
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,Preregistration might lead to other people taking my research idea and implementing my plan
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,Preregistration might make it more difficult to publish in certain journals
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,"It might take too much time, effort, and resources"
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
1,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_1,Slightly important
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_2,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_3,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_4,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_5,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_6,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_7,NA
2,TRUE,3,"In your opinion, how important is preregistration for your work?",value_8,NA
2,TRUE,3,What is your experience with study preregistration?,value_1,"Until now, I was unaware of study preregistration"
2,TRUE,3,What is your experience with study preregistration?,value_2,NA
2,TRUE,3,What is your experience with study preregistration?,value_3,NA
2,TRUE,3,What is your experience with study preregistration?,value_4,NA
2,TRUE,3,What is your experience with study preregistration?,value_5,NA
2,TRUE,3,What is your experience with study preregistration?,value_6,NA
2,TRUE,3,What is your experience with study preregistration?,value_7,NA
2,TRUE,3,What is your experience with study preregistration?,value_8,NA
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I need to look at my data before I can decide how to best analyse it
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,Preregistration prevents exploratory research
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,Preregistration stifles research creativity or flexibility
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,Preregistration might lead to other people taking my research idea and implementing my plan
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,"It might take too much time, effort, and resources"
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
2,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_1,I don’t know/prefer not to answer
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_2,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_3,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_4,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_5,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_6,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_7,NA
3,TRUE,3,"In your opinion, how important is preregistration for your work?",value_8,NA
3,TRUE,3,What is your experience with study preregistration?,value_1,I don’t know/prefer not to answer
3,TRUE,3,What is your experience with study preregistration?,value_2,NA
3,TRUE,3,What is your experience with study preregistration?,value_3,NA
3,TRUE,3,What is your experience with study preregistration?,value_4,NA
3,TRUE,3,What is your experience with study preregistration?,value_5,NA
3,TRUE,3,What is your experience with study preregistration?,value_6,NA
3,TRUE,3,What is your experience with study preregistration?,value_7,NA
3,TRUE,3,What is your experience with study preregistration?,value_8,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I don’t know/prefer not to answer
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
3,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_1,Moderately important
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_2,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_3,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_4,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_5,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_6,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_7,NA
4,TRUE,3,"In your opinion, how important is preregistration for your work?",value_8,NA
4,TRUE,3,What is your experience with study preregistration?,value_1,"I have some experience with study preregistration, but do not use it regularly"
4,TRUE,3,What is your experience with study preregistration?,value_2,NA
4,TRUE,3,What is your experience with study preregistration?,value_3,NA
4,TRUE,3,What is your experience with study preregistration?,value_4,NA
4,TRUE,3,What is your experience with study preregistration?,value_5,NA
4,TRUE,3,What is your experience with study preregistration?,value_6,NA
4,TRUE,3,What is your experience with study preregistration?,value_7,NA
4,TRUE,3,What is your experience with study preregistration?,value_8,NA
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I need to look at my data before I can decide how to best analyse it
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,Preregistration prevents exploratory research
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,"It might take too much time, effort, and resources"
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
4,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_1,Slightly important
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_2,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_3,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_4,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_5,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_6,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_7,NA
5,TRUE,3,"In your opinion, how important is preregistration for your work?",value_8,NA
5,TRUE,3,What is your experience with study preregistration?,value_1,"Until now, I was unaware of study preregistration"
5,TRUE,3,What is your experience with study preregistration?,value_2,NA
5,TRUE,3,What is your experience with study preregistration?,value_3,NA
5,TRUE,3,What is your experience with study preregistration?,value_4,NA
5,TRUE,3,What is your experience with study preregistration?,value_5,NA
5,TRUE,3,What is your experience with study preregistration?,value_6,NA
5,TRUE,3,What is your experience with study preregistration?,value_7,NA
5,TRUE,3,What is your experience with study preregistration?,value_8,NA
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I need to look at my data before I can decide how to best analyse it
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,Preregistration prevents exploratory research
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,Preregistration stifles research creativity or flexibility
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,Preregistration might lead to other people taking my research idea and implementing my plan
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,"It might take too much time, effort, and resources"
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
5,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_8,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_1,Not at all important
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_2,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_3,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_4,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_5,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_6,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_7,NA
6,TRUE,3,"In your opinion, how important is preregistration for your work?",value_8,NA
6,TRUE,3,What is your experience with study preregistration?,value_1,"I am aware of study preregistration, but have not used it"
6,TRUE,3,What is your experience with study preregistration?,value_2,NA
6,TRUE,3,What is your experience with study preregistration?,value_3,NA
6,TRUE,3,What is your experience with study preregistration?,value_4,NA
6,TRUE,3,What is your experience with study preregistration?,value_5,NA
6,TRUE,3,What is your experience with study preregistration?,value_6,NA
6,TRUE,3,What is your experience with study preregistration?,value_7,NA
6,TRUE,3,What is your experience with study preregistration?,value_8,NA
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_1,I don’t know/prefer not to answer
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_2,NA
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_3,NA
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_4,NA
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_5,NA
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_6,NA
6,TRUE,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,value_7,NA
